Designator,Mid X,Mid Y,Rotation,Layer
BT1,197.76,-107.53,90.0,top
C1,253.746,-100.838,270.0,top
C10,231.44,-80.81,90.0,top
C11,240.8135,-120.142,180.0,top
C12,245.364,-120.142,0.0,top
C13,223.012,-142.24,270.0,top
C14,223.012,-133.604,90.0,top
C15,234.696,-138.0575,270.0,top
C16,231.394,-142.2615,270.0,top
C17,217.17,-85.344,0.0,top
C18,241.4875,-127.0675,90.0,top
C19,228.5,-128.25,90.0,top
C2,237.236,-100.8165,270.0,top
C20,237.998,-133.604,90.0,top
C21,254.0,-90.9105,90.0,top
C22,226.95,-104.77,180.0,top
C3,226.822,-77.47,270.0,top
C4,237.236,-92.4345,270.0,top
C5,224.282,-81.534,270.0,top
C6,237.236,-88.392,90.0,top
C7,217.0045,-87.884,180.0,top
C8,217.0045,-91.44,180.0,top
C9,221.3655,-91.44,0.0,top
D1,233.934,-100.847,90.0,top
D2,244.602,-139.7,270.0,top
D3,237.9525,-124.07,0.0,top
D4,233.09,-117.78,90.0,top
J1,217.4,-70.69,0.0,top
J3,237.744,-72.898,90.0,top
J4,251.714,-117.094,0.0,top
J5,214.505,-115.27,0.0,top
J6,230.124,-133.096,270.0,top
J7,184.2,-92.215,180.0,top
J8,183.575,-128.91,0.0,top
J9,238.085,-80.095,90.0,top
L1,224.282,-77.47,270.0,top
L2,220.717,-82.55,0.0,top
L3,215.646,-138.16,90.0,top
Q1,233.5475,-92.644,0.0,top
Q2,236.22,-109.474,180.0,top
R1,251.46,-107.95,90.0,top
R10,237.236,-96.52,90.0,top
R11,233.934,-88.408,90.0,top
R12,230.632,-88.392,270.0,top
R13,231.13,-103.08,90.0,top
R14,233.934,-105.172,270.0,top
R15,233.5635,-124.088,180.0,top
R16,236.6835,-127.228,270.0,top
R17,237.236,-105.156,90.0,top
R18,218.72,-109.25,270.0,top
R19,218.72,-114.47,270.0,top
R2,233.934,-96.52,270.0,top
R20,218.7,-119.59,270.0,top
R21,223.87,-126.42,90.0,top
R3,223.012,-137.906,270.0,top
R4,247.396,-80.772,90.0,top
R5,237.998,-138.16,270.0,top
R6,241.3,-138.176,90.0,top
R7,241.3,-133.62,270.0,top
R8,234.696,-142.24,270.0,top
R9,237.998,-142.24,90.0,top
SW1,250.824,-129.9265,90.0,top
SW_RESET1,244.348,-108.712,180.0,top
U1,246.014,-91.326,0.0,top
U2,228.47,-138.0,270.0,top
U3,221.664,-86.788,90.0,top
U4,243.078,-116.332,0.0,top
U5,252.328,-81.026,270.0,top
U6,233.07,-127.3,180.0,top
U7,224.89,-115.345,0.0,top
Y1,245.61,-101.77,0.0,top
Y2,217.788,-96.774,0.0,top
