Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,47pF,
"C10, C11, C12, C14, C18, C20, C21, C4, C5",0805,9,100nF,
C13,0805,1,10uF,
"C15, C16",0805,2,22pF,
"C17, C3",1206,2,4.7uF,
C19,0805,1,1.2pF,
"C6, C7",0805,2,1uF,
"C8, C9",0805,2,10pF,
"D1, D2, D3, D4, D5",0805,5,LED,
"H1, H2, H3, H4",MountingHole_2.2mm_M2,4,MountingHole,
J1,USB_B_Lumberg_2411_02_Horizontal,1,USB_B,
J2,SMA_Amphenol_901-143_Horizontal,1,Conn_Coaxial,
J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04_Pin,
J4,PinHeader_2x03_P2.54mm_Vertical,1,AVR-ISP-6,
J5,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J6,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J7,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
"JP1, JP2",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,2,SolderJumper_3_Open,
L2,0805,1,39nH,
"R1, R2",0805,2,560R,
"R10, R11, R8, R9",0805,4,4k7,
R12,0805,1,10k,
"R13, R5",0805,2,150r,
"R3, R4",0805,2,27R,
R6,0805,1,100r,
R7,0805,1,330r,
SW_RESET1,SW_SPST_TL3305A,1,SW_Push,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328PB-A,
U2,QSOP-16_3.9x4.9mm_P0.635mm,1,MICRF220AYQS,
U3,SSOP-16_3.9x4.9mm_P0.635mm,1,FT230XS,
U4,TO-92_Inline,1,MCP1700x-330xxTO,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,TL072,
U6,DIP-14_W7.62mm,1,SN74LS07N,
Y1,Crystal_SMD_HC49-SD_HandSoldering,1,13.52313MHz,
Y2,Crystal_HC49-U_Vertical,1,Crystal 16MHz,
